start,end,duration,round_epochs,accuracy,loss,val_accuracy,val_loss,units,hidden_activations,activation,loss,optimizer,batch_size
03/23/25-113407,03/23/25-113528,81.24771285057068,200,0.5911750197410583,0.005080589558929205,0.19769999384880066,0.010973424650728703,120,relu,softmax,mse,adam,1000
03/23/25-113528,03/23/25-113636,67.04973340034485,200,0.5263000130653381,0.005834735464304686,0.21160000562667847,0.010324311442673206,120,relu,softmax,mse,adam,2000
03/23/25-113636,03/23/25-113754,77.76642894744873,200,0.009224999696016312,0.00990148726850748,0.010900000110268593,0.00990121066570282,120,relu,softmax,mse,adagrad,1000
03/23/25-113754,03/23/25-113859,65.16394925117493,200,0.011049999855458736,0.009901323355734348,0.011900000274181366,0.009901134297251701,120,relu,softmax,mse,adagrad,2000
03/23/25-113859,03/23/25-114021,81.56700563430786,200,0.5515000224113464,1.6722381114959717,0.21040000021457672,4.682707786560059,120,relu,softmax,categorical_crossentropy,adam,1000
03/23/25-114021,03/23/25-114128,66.96160340309143,200,0.4706000089645386,2.0395710468292236,0.20749999582767487,3.950087785720825,120,relu,softmax,categorical_crossentropy,adam,2000
03/23/25-114128,03/23/25-114246,77.84740471839905,200,0.10497500002384186,3.9217965602874756,0.10419999808073044,3.942755937576294,120,relu,softmax,categorical_crossentropy,adagrad,1000
03/23/25-114246,03/23/25-114351,64.47762703895569,200,0.0340999998152256,4.47988748550415,0.033900000154972076,4.4804182052612305,120,relu,softmax,categorical_crossentropy,adagrad,2000
03/23/25-114351,03/23/25-114511,79.84939384460449,200,0.009724999777972698,0.009999997913837433,0.007899999618530273,0.009999995119869709,120,relu,sigmoid,mse,adam,1000
03/23/25-114511,03/23/25-114617,65.95070147514343,200,0.009850000031292439,0.009999965317547321,0.010599999688565731,0.009999989531934261,120,relu,sigmoid,mse,adam,2000
03/23/25-114617,03/23/25-114733,75.83272647857666,200,0.006775000132620335,0.010600531473755836,0.006899999920278788,0.010586372576653957,120,relu,sigmoid,mse,adagrad,1000
03/23/25-114733,03/23/25-114837,63.40522074699402,200,0.009575000032782555,0.01144714280962944,0.011699999682605267,0.011426085606217384,120,relu,sigmoid,mse,adagrad,2000
03/23/25-114837,03/23/25-114958,81.066561460495,200,0.5691499710083008,1.5664496421813965,0.19599999487400055,4.822171688079834,120,relu,sigmoid,categorical_crossentropy,adam,1000
